Международная классификация болезней – Онкология (3 издание). Морфологические коды,Международная классификация болезней – Онкология (3 издание). Морфологические коды,Международная классификация болезней – Онкология (3 издание). Топографические коды,Международная классификация болезней – Онкология (3 издание). Топографические коды
1.2.643.5.1.13.13.11.1486,1.2.643.5.1.13.13.11.1486,1.2.643.5.1.13.13.11.1487,1.2.643.5.1.13.13.11.1487
ID,CODE,ID,CODE
35,8035/3,400,C77.0
34,8034/3,400,C77.0
33,8033/3,400,C77.0
42,8045/3,400,C77.0
125,8150/3,400,C77.0
79,8094/3,400,C77.0
1149,8158/3,400,C77.0
136,8156/3,400,C77.0
134,8155/3,400,C77.0
132,8154/3,400,C77.0
131,8153/3,400,C77.0
139,8160/3,400,C77.0
127,8151/3,400,C77.0
140,8161/0,400,C77.0
123,8150/0,400,C77.0
122,8149/0,400,C77.0
121,8148/2,400,C77.0
120,8148/0,400,C77.0
119,8147/3,400,C77.0
118,8147/0,400,C77.0
117,8146/0,400,C77.0
129,8152/3,400,C77.0
148,8171/3,400,C77.0
157,8200/0,400,C77.0
156,8191/0,400,C77.0
155,8190/3,400,C77.0
153,8180/3,400,C77.0
293,8401/3,400,C77.0
151,8174/3,400,C77.0
138,8160/0,400,C77.0
149,8172/3,400,C77.0
1148,8144/0,400,C77.0
147,8170/3,400,C77.0
146,8170/0,400,C77.0
145,8163/3,400,C77.0
144,8163/2,400,C77.0
143,8163/0,400,C77.0
142,8162/3,400,C77.0
141,8161/3,400,C77.0
150,8173/3,400,C77.0
87,8102/3,400,C77.0
95,8120/3,400,C77.0
94,8120/2,400,C77.0
92,8120/0,400,C77.0
90,8110/3,400,C77.0
89,8110/0,400,C77.0
1147,8104/0,400,C77.0
116,8145/3,400,C77.0
88,8103/0,400,C77.0
98,8121/3,400,C77.0
86,8102/0,400,C77.0
85,8101/0,400,C77.0
1145,8100/3,400,C77.0
84,8100/0,400,C77.0
83,8098/3,400,C77.0
82,8097/3,400,C77.0
158,8200/3,400,C77.0
1146,8103/1,400,C77.0
105,8131/3,400,C77.0
80,8095/3,400,C77.0
114,8143/3,400,C77.0
113,8142/3,400,C77.0
112,8141/3,400,C77.0
111,8140/6,400,C77.0
110,8140/3,400,C77.0
109,8140/2,400,C77.0
96,8121/0,400,C77.0
107,8140/0,400,C77.0
97,8121/1,400,C77.0
104,8130/3,400,C77.0
103,8130/2,400,C77.0
102,8130/1,400,C77.0
101,8124/3,400,C77.0
100,8123/3,400,C77.0
99,8122/3,400,C77.0
115,8144/3,400,C77.0
108,8140/1,400,C77.0
1175,8509/3,400,C77.0
358,8501/3,400,C77.0
382,8530/3,400,C77.0
381,8525/3,400,C77.0
380,8524/3,400,C77.0
379,8523/3,400,C77.0
378,8522/3,400,C77.0
377,8522/2,400,C77.0
376,8521/3,400,C77.0
375,8520/3,400,C77.0
374,8520/2,400,C77.0
1176,8519/2,400,C77.0
373,8514/3,400,C77.0
372,8513/3,400,C77.0
384,8541/3,400,C77.0
366,8505/0,400,C77.0
359,8502/3,400,C77.0
360,8503/0,400,C77.0
361,8503/2,400,C77.0
362,8503/3,400,C77.0
363,8504/0,400,C77.0
371,8512/3,400,C77.0
365,8504/3,400,C77.0
370,8510/3,400,C77.0
367,8506/0,400,C77.0
368,8507/2,400,C77.0
1173,8507/3,400,C77.0
369,8508/3,400,C77.0
1174,8509/2,400,C77.0
385,8542/3,400,C77.0
364,8504/2,400,C77.0
403,8575/3,400,C77.0
291,8400/3,400,C77.0
292,8401/0,400,C77.0
422,8589/3,400,C77.0
421,8588/3,400,C77.0
420,8587/0,400,C77.0
419,8586/3,400,C77.0
418,8585/3,400,C77.0
416,8584/3,400,C77.0
414,8583/3,400,C77.0
412,8582/3,400,C77.0
410,8581/3,400,C77.0
408,8580/3,400,C77.0
407,8580/1,400,C77.0
383,8540/3,400,C77.0
397,8562/3,400,C77.0
386,8543/3,400,C77.0
388,8550/0,400,C77.0
389,8550/1,400,C77.0
391,8551/3,400,C77.0
394,8560/0,400,C77.0
406,8580/0,400,C77.0
396,8561/0,400,C77.0
404,8576/3,400,C77.0
398,8570/3,400,C77.0
399,8571/3,400,C77.0
400,8572/3,400,C77.0
401,8573/3,400,C77.0
402,8574/3,400,C77.0
390,8550/3,400,C77.0
395,8560/3,400,C77.0
1167,8409/2,400,C77.0
321,8442/1,400,C77.0
320,8441/3,400,C77.0
1168,8441/2,400,C77.0
319,8441/0,400,C77.0
318,8440/3,400,C77.0
317,8440/0,400,C77.0
315,8430/3,400,C77.0
314,8430/1,400,C77.0
312,8420/3,400,C77.0
311,8420/0,400,C77.0
310,8413/3,400,C77.0
309,8410/3,400,C77.0
322,8443/0,400,C77.0
307,8409/3,400,C77.0
306,8409/0,400,C77.0
305,8408/3,400,C77.0
302,8407/3,400,C77.0
301,8407/0,400,C77.0
1166,8406/3,400,C77.0
300,8406/0,400,C77.0
299,8405/0,400,C77.0
298,8404/0,400,C77.0
297,8403/3,400,C77.0
296,8403/0,400,C77.0
295,8402/3,400,C77.0
357,8501/2,400,C77.0
392,8552/3,400,C77.0
294,8402/0,400,C77.0
308,8410/0,400,C77.0
340,8470/2,400,C77.0
352,8490/3,400,C77.0
351,8482/3,400,C77.0
350,8481/3,400,C77.0
349,8480/6,400,C77.0
348,8480/3,400,C77.0
347,8480/1,400,C77.0
346,8480/0,400,C77.0
1172,8474/3,400,C77.0
1171,8474/1,400,C77.0
1170,8474/0,400,C77.0
303,8408/0,400,C77.0
324,8450/0,400,C77.0
341,8470/3,400,C77.0
353,8490/6,400,C77.0
355,8500/2,400,C77.0
325,8450/3,400,C77.0
326,8451/1,400,C77.0
327,8452/1,400,C77.0
328,8452/3,400,C77.0
344,8472/1,400,C77.0
329,8453/0,400,C77.0
339,8470/0,400,C77.0
330,8453/2,400,C77.0
331,8453/3,400,C77.0
332,8454/0,400,C77.0
1169,8460/2,400,C77.0
334,8460/3,400,C77.0
335,8461/0,400,C77.0
336,8461/3,400,C77.0
356,8500/3,400,C77.0
201,8260/0,401,C77.1
207,8263/0,401,C77.1
206,8262/3,401,C77.1
205,8261/3,401,C77.1
204,8261/2,401,C77.1
203,8261/0,401,C77.1
202,8260/3,401,C77.1
1155,8260/1,401,C77.1
1154,8257/3,401,C77.1
1153,8256/3,401,C77.1
200,8255/3,401,C77.1
199,8254/3,401,C77.1
208,8263/2,401,C77.1
1152,8253/2,401,C77.1
215,8272/0,401,C77.1
197,8252/3,401,C77.1
196,8251/3,401,C77.1
198,8253/3,401,C77.1
1156,8273/3,401,C77.1
224,8300/3,401,C77.1
223,8300/0,401,C77.1
222,8290/3,401,C77.1
221,8290/0,401,C77.1
220,8281/3,401,C77.1
219,8281/0,401,C77.1
213,8270/3,401,C77.1
217,8280/0,401,C77.1
209,8263/3,401,C77.1
216,8272/3,401,C77.1
190,8247/3,401,C77.1
214,8271/0,401,C77.1
195,8251/0,401,C77.1
212,8270/0,401,C77.1
211,8265/3,401,C77.1
210,8264/0,401,C77.1
218,8280/3,401,C77.1
167,8211/3,401,C77.1
192,8249/3,401,C77.1
174,8220/3,401,C77.1
173,8220/0,401,C77.1
172,8215/3,401,C77.1
171,8214/3,401,C77.1
170,8213/3,401,C77.1
176,8221/3,401,C77.1
168,8212/0,401,C77.1
177,8230/2,401,C77.1
166,8211/0,401,C77.1
165,8210/3,401,C77.1
164,8210/2,401,C77.1
163,8210/0,401,C77.1
162,8204/0,401,C77.1
161,8202/0,401,C77.1
160,8201/3,401,C77.1
169,8213/0,401,C77.1
187,8245/1,401,C77.1
1151,8250/2,401,C77.1
193,8250/1,401,C77.1
1150,8250/0,401,C77.1
225,8310/0,401,C77.1
191,8248/1,401,C77.1
231,8313/3,401,C77.1
175,8221/0,401,C77.1
188,8245/3,401,C77.1
194,8250/3,401,C77.1
186,8244/3,401,C77.1
185,8243/3,401,C77.1
184,8242/3,401,C77.1
182,8241/3,401,C77.1
181,8240/3,401,C77.1
179,8231/3,401,C77.1
178,8230/3,401,C77.1
189,8246/3,401,C77.1
1164,8349/1,401,C77.1
229,8313/0,401,C77.1
271,8372/0,401,C77.1
270,8371/0,401,C77.1
269,8370/3,401,C77.1
268,8370/0,401,C77.1
267,8361/0,401,C77.1
273,8374/0,401,C77.1
265,8350/3,401,C77.1
274,8375/0,401,C77.1
1163,8348/1,401,C77.1
264,8347/3,401,C77.1
263,8346/3,401,C77.1
262,8345/3,401,C77.1
261,8344/3,401,C77.1
260,8343/3,401,C77.1
259,8342/3,401,C77.1
266,8360/1,401,C77.1
281,8382/3,401,C77.1
290,8400/1,401,C77.1
289,8400/0,401,C77.1
288,8392/0,401,C77.1
287,8391/0,401,C77.1
286,8390/3,401,C77.1
285,8390/0,401,C77.1
272,8373/0,401,C77.1
282,8383/3,401,C77.1
1162,8339/3,401,C77.1
280,8381/3,401,C77.1
279,8381/1,401,C77.1
278,8381/0,401,C77.1
277,8380/3,401,C77.1
1165,8380/2,401,C77.1
276,8380/1,401,C77.1
275,8380/0,401,C77.1
283,8384/3,401,C77.1
233,8315/3,401,C77.1
240,8322/0,401,C77.1
239,8321/0,401,C77.1
238,8320/3,401,C77.1
237,8319/3,401,C77.1
236,8318/3,401,C77.1
235,8317/3,401,C77.1
258,8341/3,401,C77.1
1158,8316/1,401,C77.1
1159,8323/1,401,C77.1
232,8314/3,401,C77.1
152,8175/3,401,C77.1
230,8313/1,401,C77.1
159,8201/2,401,C77.1
228,8312/3,401,C77.1
1157,8311/3,401,C77.1
227,8311/1,401,C77.1
234,8316/3,401,C77.1
249,8331/3,401,C77.1
226,8310/3,401,C77.1
256,8337/3,401,C77.1
1161,8336/1,401,C77.1
254,8335/3,401,C77.1
1160,8335/1,401,C77.1
253,8334/0,401,C77.1
252,8333/3,401,C77.1
241,8322/3,401,C77.1
250,8332/3,401,C77.1
242,8323/0,401,C77.1
248,8330/3,401,C77.1
247,8330/1,401,C77.1
246,8330/0,401,C77.1
245,8325/0,401,C77.1
244,8324/0,401,C77.1
243,8323/3,401,C77.1
257,8340/3,401,C77.1
251,8333/0,401,C77.1
56,8070/3,401,C77.1
51,8052/2,401,C77.1
61,8074/3,401,C77.1
60,8073/3,401,C77.1
59,8072/3,401,C77.1
1141,8072/0,401,C77.1
58,8071/3,401,C77.1
63,8076/2,401,C77.1
57,8070/6,401,C77.1
64,8076/3,401,C77.1
55,8070/2,401,C77.1
1139,8070/0,401,C77.1
54,8060/0,401,C77.1
1138,8054/3,401,C77.1
1137,8054/0,401,C77.1
53,8053/0,401,C77.1
154,8190/0,401,C77.1
1140,8071/2,401,C77.1
1142,8084/0,401,C77.1
78,8093/3,401,C77.1
77,8092/3,401,C77.1
76,8091/3,401,C77.1
75,8090/3,401,C77.1
74,8090/1,401,C77.1
1144,8086/3,401,C77.1
62,8075/3,401,C77.1
72,8084/3,401,C77.1
50,8052/0,401,C77.1
71,8083/3,401,C77.1
70,8082/3,401,C77.1
69,8081/2,401,C77.1
68,8080/2,401,C77.1
67,8078/3,401,C77.1
66,8077/2,401,C77.1
65,8077/0,401,C77.1
1143,8085/3,401,C77.1
23,8012/3,401,C77.1
52,8052/3,401,C77.1
1136,8023/3,401,C77.1
29,8022/3,401,C77.1
28,8021/3,401,C77.1
27,8020/3,401,C77.1
26,8015/3,401,C77.1
31,8031/3,401,C77.1
24,8013/3,401,C77.1
32,8032/3,401,C77.1
22,8011/3,401,C77.1
21,8011/0,401,C77.1
20,8010/9,401,C77.1
19,8010/6,401,C77.1
18,8010/3,401,C77.1
17,8010/2,401,C77.1
16,8010/0,401,C77.1
25,8014/3,401,C77.1
40,8043/3,401,C77.1
49,8051/3,401,C77.1
48,8051/0,401,C77.1
47,8050/3,401,C77.1
46,8050/2,401,C77.1
45,8050/0,401,C77.1
43,8046/3,401,C77.1
30,8030/3,401,C77.1
41,8044/3,401,C77.1
81,8096/0,401,C77.1
39,8042/3,401,C77.1
38,8041/3,401,C77.1
37,8040/1,401,C77.1
36,8040/0,401,C77.1
35,8035/3,401,C77.1
34,8034/3,401,C77.1
33,8033/3,401,C77.1
42,8045/3,401,C77.1
125,8150/3,401,C77.1
79,8094/3,401,C77.1
1149,8158/3,401,C77.1
136,8156/3,401,C77.1
134,8155/3,401,C77.1
132,8154/3,401,C77.1
131,8153/3,401,C77.1
139,8160/3,401,C77.1
127,8151/3,401,C77.1
140,8161/0,401,C77.1
123,8150/0,401,C77.1
122,8149/0,401,C77.1
121,8148/2,401,C77.1
120,8148/0,401,C77.1
119,8147/3,401,C77.1
118,8147/0,401,C77.1
117,8146/0,401,C77.1
129,8152/3,401,C77.1
148,8171/3,401,C77.1
157,8200/0,401,C77.1
